team,win_prob,win,season,date,upset_win,upset_loss
Los Angeles Galaxy,0.6250890429034865,1,1998,1998-10-03,NA,0
DC United,0.6033195746416657,1,1998,1998-10-03,NA,0
Colorado Rapids,0.5316942760540907,0,1998,1998-10-04,NA,1
Chicago Fire,0.4683057239459093,1,1998,1998-10-04,1,NA
Los Angeles Galaxy,0.7098727997551934,0,1998,1998-10-09,NA,1
Chicago Fire,0.29012720024480665,1,1998,1998-10-09,1,NA
DC United,0.8041391364703302,1,1998,1998-10-10,NA,0
Columbus Crew,0.1958608635296698,0,1998,1998-10-10,0,NA
Chicago Fire,0.6112741712661273,1,1998,1998-10-15,NA,0
Los Angeles Galaxy,0.38872582873387274,0,1998,1998-10-15,0,NA
Columbus Crew,0.41526235613574014,1,1998,1998-10-17,1,NA
DC United,0.5847376438642599,0,1998,1998-10-17,NA,1
DC United,0.7775061069553848,1,1998,1998-10-20,NA,0
Columbus Crew,0.2224938930446152,0,1998,1998-10-20,0,NA
